epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.659,1.39541,1.14429,1.08048,0.38429,0.40946,0.34129,0.20613,1.79705,2.06348,1.371,0.000369655,0.000369655,0.000369655
2,534.1,1.31555,0.86911,1.02549,0.48606,0.45757,0.41137,0.25727,1.75238,1.9586,1.35793,0.000715569,0.000715569,0.000715569
3,793.497,1.30353,0.8368,1.0186,0.51039,0.47315,0.43288,0.26177,1.76833,2.05826,1.37795,0.00103704,0.00103704,0.00103704
4,1051.3,1.2828,0.81639,1.01243,0.52109,0.48317,0.44159,0.26849,1.73702,1.94127,1.33924,0.00100101,0.00100101,0.00100101
5,1308.72,1.26087,0.78733,1.00391,0.52632,0.50593,0.46167,0.29127,1.73705,1.93038,1.34522,0.000964348,0.000964348,0.000964348
6,1566.48,1.24298,0.76483,0.99557,0.58966,0.52399,0.4916,0.31531,1.71553,2.00172,1.36384,0.000927685,0.000927685,0.000927685
7,1824.73,1.2271,0.74213,0.98979,0.61357,0.52113,0.50729,0.32375,1.7165,1.95759,1.34515,0.000891022,0.000891022,0.000891022
8,2084.11,1.2182,0.72933,0.98512,0.59441,0.53612,0.5104,0.32741,1.7077,2.08799,1.35532,0.000854359,0.000854359,0.000854359
9,2343.07,1.20601,0.71325,0.98144,0.61829,0.55051,0.5289,0.34069,1.68571,2.01577,1.32899,0.000817696,0.000817696,0.000817696
10,2602.33,1.19705,0.70945,0.97845,0.62444,0.55629,0.53567,0.35032,1.67501,2.04649,1.34364,0.000781033,0.000781033,0.000781033
11,2861.39,1.18379,0.69042,0.97457,0.64416,0.55609,0.54449,0.35774,1.67612,1.97238,1.33262,0.00074437,0.00074437,0.00074437
12,3119.81,1.17802,0.68293,0.97224,0.64987,0.56189,0.54806,0.36284,1.66798,1.98336,1.34558,0.000707707,0.000707707,0.000707707
13,3378.81,1.16691,0.6736,0.96916,0.63255,0.56594,0.54596,0.36268,1.64942,1.98096,1.33121,0.000671044,0.000671044,0.000671044
14,3638.51,1.1633,0.66367,0.96651,0.64963,0.576,0.55618,0.36881,1.64767,1.99817,1.32512,0.000634381,0.000634381,0.000634381
15,3895.89,1.1522,0.65741,0.96258,0.66486,0.5786,0.56951,0.38177,1.64396,2.02339,1.33883,0.000597718,0.000597718,0.000597718
16,4153.47,1.14666,0.64894,0.96126,0.66675,0.58627,0.5815,0.39396,1.63831,2.03541,1.32447,0.000561055,0.000561055,0.000561055
17,4410.98,1.13932,0.64206,0.95978,0.67525,0.58649,0.57649,0.39071,1.63761,2.03831,1.33711,0.000524392,0.000524392,0.000524392
18,4669.09,1.12869,0.6303,0.95595,0.67921,0.59187,0.58628,0.39848,1.63444,2.11011,1.33595,0.000487729,0.000487729,0.000487729
19,4927.4,1.12461,0.6252,0.95358,0.65903,0.60149,0.58273,0.39568,1.62917,2.05409,1.34369,0.000451066,0.000451066,0.000451066
20,5185.45,1.12213,0.62222,0.95447,0.67879,0.59738,0.59027,0.40392,1.62999,2.12159,1.32929,0.000414403,0.000414403,0.000414403
21,5442.35,1.10659,0.58872,0.97449,0.69843,0.60076,0.60139,0.41074,1.6276,2.08042,1.32408,0.00037774,0.00037774,0.00037774
22,5695.33,1.09413,0.57768,0.97146,0.69204,0.60851,0.60156,0.413,1.62632,2.06662,1.33179,0.000341077,0.000341077,0.000341077
23,5947.97,1.08561,0.56796,0.9678,0.69232,0.60406,0.60032,0.41383,1.62148,2.08254,1.33315,0.000304414,0.000304414,0.000304414
24,6201.12,1.07578,0.55882,0.96375,0.70707,0.60626,0.60676,0.41794,1.61288,2.07393,1.32308,0.000267751,0.000267751,0.000267751
25,6453.46,1.06925,0.55138,0.96288,0.70176,0.60834,0.60823,0.42074,1.61349,2.12012,1.3231,0.000231088,0.000231088,0.000231088
26,6705.58,1.06148,0.54309,0.95967,0.7034,0.60863,0.61008,0.42285,1.61584,2.15389,1.32975,0.000194425,0.000194425,0.000194425
27,6959.85,1.05134,0.53521,0.95516,0.7038,0.61415,0.61132,0.42453,1.61734,2.15591,1.32942,0.000157762,0.000157762,0.000157762
28,7212.12,1.045,0.52782,0.95355,0.70013,0.61454,0.60917,0.42317,1.61231,2.14917,1.33216,0.000121099,0.000121099,0.000121099
29,7465.25,1.03657,0.52199,0.95112,0.70732,0.61599,0.61446,0.42638,1.61239,2.15915,1.33235,8.4436e-05,8.4436e-05,8.4436e-05
30,7717.32,1.03091,0.51633,0.94949,0.70622,0.61764,0.6131,0.42586,1.6133,2.17171,1.33049,4.7773e-05,4.7773e-05,4.7773e-05
