epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.253,0.64272,0.73003,0.84606,0.88646,0.90095,0.92908,0.80439,0.35662,0.33089,0.78615,0.000369348,0.000369348,0.000369348
2,298.293,0.40288,0.32726,0.79731,0.98367,0.93841,0.96488,0.88715,0.23959,0.27286,0.77462,0.000725036,0.000725036,0.000725036
3,438.859,0.35179,0.29007,0.79101,0.94823,0.96614,0.97418,0.90397,0.23962,0.28124,0.77382,0.00106606,0.00106606,0.00106606
4,579.352,0.34045,0.28243,0.78888,0.87086,0.93028,0.93051,0.85302,0.20273,0.24086,0.76733,0.00104501,0.00104501,0.00104501
5,719.969,0.31688,0.26363,0.78729,0.95258,0.93572,0.94128,0.90557,0.19718,0.24346,0.76852,0.00102301,0.00102301,0.00102301
6,860.562,0.29623,0.24921,0.78543,0.96909,0.95296,0.97643,0.92444,0.17438,0.22427,0.76436,0.00100101,0.00100101,0.00100101
7,1001.54,0.27924,0.23735,0.78386,0.95831,0.95737,0.95657,0.93151,0.15357,0.20278,0.76271,0.000979013,0.000979013,0.000979013
8,1142.45,0.2727,0.23317,0.78333,0.95878,0.97741,0.96821,0.91455,0.15608,0.21028,0.76325,0.000957015,0.000957015,0.000957015
9,1283.09,0.25959,0.22206,0.78093,0.94204,0.96166,0.96453,0.93188,0.13903,0.18707,0.76132,0.000935018,0.000935018,0.000935018
10,1423.99,0.24883,0.21332,0.78029,0.99182,0.94322,0.98585,0.94279,0.13658,0.19091,0.7607,0.00091302,0.00091302,0.00091302
11,1564.65,0.24556,0.21,0.77982,0.91949,0.99665,0.96936,0.9447,0.12721,0.17912,0.75953,0.000891022,0.000891022,0.000891022
12,1705.7,0.24111,0.20813,0.77919,0.97593,0.97542,0.98641,0.95444,0.12382,0.18095,0.75966,0.000869024,0.000869024,0.000869024
13,1846.55,0.24262,0.20698,0.77842,0.91053,0.90849,0.93185,0.8876,0.14993,0.18773,0.76101,0.000847026,0.000847026,0.000847026
14,1987.26,0.23415,0.20098,0.77896,0.98606,0.95746,0.98681,0.96049,0.11262,0.17134,0.75867,0.000825029,0.000825029,0.000825029
15,2127.91,0.23195,0.20075,0.77838,0.97152,0.97619,0.97944,0.95061,0.10688,0.16275,0.75672,0.000803031,0.000803031,0.000803031
16,2267.57,0.22076,0.19009,0.77705,0.97708,0.97802,0.9906,0.97845,0.10119,0.15848,0.75753,0.000781033,0.000781033,0.000781033
