epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.316,1.29838,1.06067,1.04545,0.4566,0.46456,0.41682,0.26223,1.70516,2.00436,1.37154,0.000369673,0.000369673,0.000369673
2,550.194,1.21965,0.78136,0.99802,0.53102,0.51568,0.45974,0.29941,1.68721,2.08582,1.37521,0.000715586,0.000715586,0.000715586
3,816.28,1.20179,0.75361,0.988,0.52869,0.52195,0.47827,0.31669,1.6744,2.07822,1.37496,0.00103706,0.00103706,0.00103706
4,1080.58,1.19196,0.73409,0.98195,0.52011,0.48778,0.43321,0.28727,1.70585,2.10844,1.41649,0.00100101,0.00100101,0.00100101
5,1346.22,1.16385,0.7005,0.97191,0.56371,0.53631,0.48362,0.32557,1.65004,2.10833,1.36339,0.000964348,0.000964348,0.000964348
6,1611.54,1.15041,0.67647,0.96648,0.59826,0.56907,0.5314,0.36493,1.63848,2.25373,1.40008,0.000927685,0.000927685,0.000927685
7,1877.28,1.13844,0.65993,0.96155,0.60398,0.58263,0.54353,0.37908,1.62804,2.29331,1.3856,0.000891022,0.000891022,0.000891022
8,2143.95,1.12717,0.64579,0.95702,0.6116,0.58525,0.5497,0.37553,1.66387,2.28483,1.42878,0.000854359,0.000854359,0.000854359
9,2409.46,1.12361,0.63901,0.95631,0.63971,0.57759,0.56851,0.39399,1.64103,2.15764,1.40648,0.000817696,0.000817696,0.000817696
10,2674.08,1.11225,0.62679,0.95281,0.6523,0.5924,0.57963,0.40404,1.62408,2.19734,1.40379,0.000781033,0.000781033,0.000781033
11,2940.82,1.10343,0.614,0.95052,0.66236,0.60921,0.5971,0.42018,1.61818,2.19241,1.40066,0.00074437,0.00074437,0.00074437
12,3207.75,1.09375,0.60433,0.94718,0.65614,0.60587,0.59112,0.41898,1.61506,2.27081,1.40924,0.000707707,0.000707707,0.000707707
13,3474.13,1.08789,0.59613,0.94552,0.67148,0.61547,0.60417,0.42585,1.62187,2.25854,1.41935,0.000671044,0.000671044,0.000671044
14,3739.9,1.08095,0.58903,0.94329,0.66816,0.621,0.6099,0.43466,1.61349,2.33975,1.42977,0.000634381,0.000634381,0.000634381
15,4006.62,1.07845,0.58135,0.94217,0.66182,0.62127,0.60167,0.42878,1.61911,2.39759,1.42377,0.000597718,0.000597718,0.000597718
16,4271.9,1.07448,0.57586,0.94068,0.68633,0.62525,0.61708,0.44423,1.61763,2.48397,1.44042,0.000561055,0.000561055,0.000561055
17,4536.94,1.0675,0.56687,0.93924,0.69045,0.62679,0.62333,0.44801,1.6046,2.34131,1.41979,0.000524392,0.000524392,0.000524392
18,4802.68,1.06574,0.56404,0.93704,0.68757,0.62301,0.61844,0.44483,1.60405,2.38636,1.42775,0.000487729,0.000487729,0.000487729
19,5067.27,1.05722,0.55376,0.93449,0.68205,0.62621,0.61651,0.44369,1.60859,2.36763,1.42899,0.000451066,0.000451066,0.000451066
20,5331.52,1.0483,0.54954,0.93339,0.69928,0.63801,0.63307,0.45874,1.60682,2.49337,1.45294,0.000414403,0.000414403,0.000414403
21,5594.73,1.04366,0.51887,0.95329,0.69028,0.64275,0.6288,0.45501,1.59998,2.3393,1.43177,0.00037774,0.00037774,0.00037774
22,5855.13,1.0353,0.50883,0.95242,0.69495,0.64344,0.63527,0.46177,1.6034,2.37295,1.44126,0.000341077,0.000341077,0.000341077
23,6113.8,1.02842,0.50127,0.94874,0.71061,0.64485,0.64258,0.4691,1.59845,2.4056,1.4366,0.000304414,0.000304414,0.000304414
24,6372.33,1.02219,0.49341,0.94787,0.71454,0.64596,0.64584,0.47206,1.60199,2.49963,1.44509,0.000267751,0.000267751,0.000267751
25,6633.79,1.01391,0.48651,0.94347,0.70335,0.64676,0.63966,0.46869,1.59839,2.46023,1.44414,0.000231088,0.000231088,0.000231088
26,6893.72,1.00894,0.48016,0.94276,0.71651,0.64167,0.64174,0.47088,1.59748,2.45294,1.44211,0.000194425,0.000194425,0.000194425
27,7152.53,1.0013,0.47345,0.93969,0.70862,0.64631,0.64021,0.47044,1.59929,2.54382,1.44586,0.000157762,0.000157762,0.000157762
28,7410.21,0.99566,0.46783,0.93797,0.71464,0.64655,0.64214,0.4719,1.59797,2.55696,1.44751,0.000121099,0.000121099,0.000121099
29,7669.6,0.98956,0.4614,0.9372,0.71521,0.64559,0.64244,0.47256,1.59583,2.55873,1.45086,8.4436e-05,8.4436e-05,8.4436e-05
30,7927.27,0.9832,0.45683,0.93411,0.71603,0.64781,0.64321,0.47362,1.59717,2.61868,1.45319,4.7773e-05,4.7773e-05,4.7773e-05
